6352,Okechukwu Godson Azubuike,M,19.0,170.0,68.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
30551,"Charles Everett ""Charlie"" Dumas",M,23.0,185.0,81.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's High Jump,no value
33736,Aeriwentha Mae Faggs (-Starr),F,24.0,158.0,50.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
9637,Andrew Graham Bell,M,26.0,181.0,79.0,Great Britain,GBR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Combined,no value
16674,Derek Burnett,M,41.0,178.0,87.0,Ireland,IRL,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,no value
30492,Ren Duhamel,M,25.0,180.0,79.0,France,FRA,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Double Sculls,no value
12698,Arnaud Benjamin Boetsch,M,27.0,183.0,76.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Tennis,Tennis Men's Doubles,no value
15576,Robert Harry Brown,M,34.0,no value,no value,Great Britain,GBR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",no value
9154,Laura Bechtolsheimer (-Tomlinson),F,27.0,169.0,56.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
11801,Tahir Bisi,M,20.0,190.0,105.0,Bosnia and Herzegovina,BIH,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom,no value
26709,Alessandro De Taddei,M,22.0,180.0,77.0,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 1,500 metres",no value
19767,Michael Te-Pei Chang,M,28.0,175.0,72.0,United States,USA,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Singles,no value
9393,Abdellah Bhar,M,37.0,171.0,58.0,France,FRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,no value
14243,Scott Bowden,M,21.0,175.0,65.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",no value
13361,Michael Booth,M,22.0,175.0,69.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,no value
